#,Name,Soloqueue,Draft Ranked Flex,Most played champions
,,,,
64.,"nkzgypkd#2999

SG
(#64)","Master
                                        105 LP                                    
 
                                        Wins: 77 (53.8%)",,
65.,"Rachhh#0721

SG
(#65)","Master
                                        104 LP                                    
 
                                        Wins: 41 (66.1%)",,
66.,"BornThisWay#777

SG
(#66)","Master
                                        102 LP                                    
 
                                        Wins: 30 (75.0%)",,
67.,"NickArdnihc#Nick

SG
(#67)","Master
                                        91 LP                                    
 
                                        Wins: 51 (63.0%)",,
68.,"ehahae#1455

SG
(#68)","Master
                                        85 LP                                    
 
                                        Wins: 106 (52.7%)","Master
                                        155 LP                                    
 
                                        Wins: 58 (64.4%)",
69.,"这游戏不知道怎么玩#3333

SG
(#69)","Master
                                        81 LP                                    
 
                                        Wins: 81 (50.9%)",,
70.,"Poppy Bryan#KEKW

SG
(#70)","Master
                                        78 LP                                    
 
                                        Wins: 53 (53.5%)","Emerald III
                                                                            
 
                                        Wins: 4 (57.1%)",
71.,"Sukon#NUT

SG
(#71)","Master
                                        77 LP                                    
 
                                        Wins: 55 (59.8%)","Platinum I
                                                                            
 
                                        Wins: 19 (73.1%)",
72.,"applejoy#poop

SG
(#72)","Master
                                        77 LP                                    
 
                                        Wins: 40 (58.0%)","Diamond I
                                        29 LP                                    
 
                                        Wins: 17 (70.8%)",
73.,"aura#drrl

SG
(#73)","Master
                                        66 LP                                    
 
                                        Wins: 94 (65.3%)",,
74.,"嘉莉公主#qtpie

SG
(#74)","Master
                                        64 LP                                    
 
                                        Wins: 16 (100.0%)",,
75.,"橘内人#JNR

SG
(#75)","Master
                                        63 LP                                    
 
                                        Wins: 54 (50.5%)","Diamond III
                                        58 LP                                    
 
                                        Wins: 18 (72.0%)",
76.,"Orca#2841

SG
(#76)","Master
                                        63 LP                                    
 
                                        Wins: 48 (58.5%)",,
77.,"Ash#Ionia

SG
(#77)","Master
                                        62 LP                                    
 
                                        Wins: 51 (53.1%)",,
78.,"lihlo#schly

SG
(#78)","Master
                                        62 LP                                    
 
                                        Wins: 41 (56.9%)","Diamond IV
                                        69 LP                                    
 
                                        Wins: 4 (66.7%)",
79.,"Fengwee#2500

SG
(#79)","Master
                                        57 LP                                    
 
                                        Wins: 73 (53.3%)",,
80.,"CAMP TOP OR LOSE#YNGMI

SG
(#80)","Master
                                        54 LP                                    
 
                                        Wins: 49 (55.1%)",,
81.,"Old God Volibear#STORM

SG
(#81)","Master
                                        49 LP                                    
 
                                        Wins: 81 (56.6%)","Platinum III
                                                                            
 
                                        Wins: 4 (40.0%)",
82.,"Davin#2889

SG
(#82)","Master
                                        43 LP                                    
 
                                        Wins: 33 (57.9%)",,
83.,"dcor#sstar

SG
(#83)","Master
                                        42 LP                                    
 
                                        Wins: 58 (56.3%)","Platinum II
                                                                            
 
                                        Wins: 1 (12.5%)",
84.,"giInKoYD#5690

SG
(#84)","Master
                                        42 LP                                    
 
                                        Wins: 54 (55.1%)","Emerald I
                                                                            
 
                                        Wins: 8 (72.7%)",
85.,"我很想你#0724

SG
(#85)","Master
                                        42 LP                                    
 
                                        Wins: 50 (55.6%)",,
86.,"SKT Faker#zzy

SG
(#86)","Master
                                        41 LP                                    
 
                                        Wins: 59 (53.6%)","Diamond I
                                        20 LP                                    
 
                                        Wins: 7 (53.8%)",
87.,"Worcestershire#7high

SG
(#87)","Master
                                        37 LP                                    
 
                                        Wins: 116 (57.4%)",,
88.,"MinatoAqua#8781

SG
(#88)","Master
                                        37 LP                                    
 
                                        Wins: 81 (52.9%)","Diamond II
                                        18 LP                                    
 
                                        Wins: 38 (59.4%)",
89.,"Yan#13112

SG
(#89)","Master
                                        37 LP                                    
 
                                        Wins: 57 (55.9%)","Diamond I
                                        26 LP                                    
 
                                        Wins: 19 (48.7%)",
90.,"jetix8#SG2

SG
(#90)","Master
                                        35 LP                                    
 
                                        Wins: 31 (57.4%)",,
91.,"gummi#2884

SG
(#91)","Master
                                        34 LP                                    
 
                                        Wins: 103 (51.2%)","Diamond I
                                        75 LP                                    
 
                                        Wins: 10 (71.4%)",
92.,"I WILL INT YOU#L 9

SG
(#92)","Master
                                        34 LP                                    
 
                                        Wins: 36 (61.0%)",,
93.,"Beumchan Lee#IDN

SG
(#93)","Master
                                        29 LP                                    
 
                                        Wins: 33 (58.9%)","Diamond I
                                        1 LP                                    
 
                                        Wins: 10 (76.9%)",
94.,"JOHN PORK#3731

SG
(#94)","Master
                                        28 LP                                    
 
                                        Wins: 139 (51.5%)",,
95.,"zyb#SG2

SG
(#95)","Master
                                        28 LP                                    
 
                                        Wins: 39 (54.9%)","Diamond III
                                        12 LP                                    
 
                                        Wins: 11 (73.3%)",
96.,"beef boss#beef

SG
(#96)","Master
                                        27 LP                                    
 
                                        Wins: 50 (53.8%)","Master
                                        63 LP                                    
 
                                        Wins: 21 (67.7%)",
97.,"Mossy#Fire

SG
(#97)","Master
                                        25 LP                                    
 
                                        Wins: 37 (56.1%)",,
98.,"다포이 제너#KHY

SG
(#98)","Master
                                        24 LP                                    
 
                                        Wins: 51 (51.0%)",,
99.,"DungeonStrife#3469

SG
(#99)","Master
                                        22 LP                                    
 
                                        Wins: 64 (58.2%)",,
100.,"Baxcalibur#0997

SG
(#100)","Master
                                        22 LP                                    
 
                                        Wins: 37 (50.0%)","GrandMaster
                                        228 LP                                    
 
                                        Wins: 45 (65.2%)",
