player_name,rank_tier,lp,region_rank,match_history_ids
DR PHIL#CRACK,GrandMaster,223.0,21.0,"SG2_41321821,SG2_41243390,SG2_40875349,SG2_40869936,SG2_40871209,SG2_40866645,SG2_40866021,SG2_40765882,SG2_40768138,SG2_40648416,SG2_40646361,SG2_40563581,SG2_40559851,SG2_40559126,SG2_40508453,SG2_40506639,SG2_40460635,SG2_40457864,SG2_40459147,SG2_40416193,SG2_40413280,SG2_40409661,SG2_40367495,SG2_40362919,SG2_40322325,SG2_40319761,SG2_40261959,SG2_40263516,SG2_40259407,SG2_40227618,SG2_40201243,SG2_40198875,SG2_40173686,SG2_40175299,SG2_40169954,SG2_40066990,SG2_40068492,SG2_40037734,SG2_40020030,SG2_40014633"
Limerence#1293,GrandMaster,221.0,22.0,"SG2_41417322,SG2_41344965,SG2_41326334,SG2_41323115,SG2_41317923,SG2_41318289,SG2_41315504,SG2_41312815,SG2_41302752,SG2_41300891,SG2_41298741,SG2_41299144,SG2_41295421,SG2_41291772,SG2_41257247,SG2_41239759,SG2_41216261,SG2_41210887,SG2_41062323,SG2_41045690,SG2_40975835,SG2_40974296,SG2_40933266,SG2_40866631,SG2_40849220,SG2_40845823,SG2_40841028,SG2_40822202,SG2_40819434,SG2_40812631,SG2_40730864,SG2_40691367,SG2_40686802,SG2_40628939,SG2_40628705,SG2_40621499,SG2_40566083,SG2_40562731,SG2_40543130,SG2_40524567"
Tale#255,GrandMaster,214.0,23.0,"SG2_41431443,SG2_41430127,SG2_41427655,SG2_41425709,SG2_41424567,SG2_41396416,SG2_41389985,SG2_41388538,SG2_41385875,SG2_41376684,SG2_41375077,SG2_41370622,SG2_41362870,SG2_41363021,SG2_41359389,SG2_41359013,SG2_41320422,SG2_41317188,SG2_41316305,SG2_41310581,SG2_41284678,SG2_41281602,SG2_41237488,SG2_41236498,SG2_41233418,SG2_41231739,SG2_41230760,SG2_41199230,SG2_41195335,SG2_41191233,SG2_41186512,SG2_41183784,SG2_41180629,SG2_41180093,SG2_41173718,SG2_41175045,SG2_41153001,SG2_41151255,SG2_41148937,SG2_41146527"
CottonBug#SG2,GrandMaster,214.0,24.0,"SG2_41334645,SG2_41330066,SG2_41254069,SG2_41239759,SG2_41237698,SG2_41236897,SG2_41236261,SG2_41232871,SG2_41191233,SG2_41050705,SG2_41050552,SG2_41052219,SG2_41010681,SG2_41009509,SG2_41006659,SG2_41007013,SG2_40988763,SG2_40987374,SG2_40948624,SG2_40946372,SG2_40943695,SG2_40942181,SG2_40883682,SG2_40884195,SG2_40837735,SG2_40839358,SG2_40836863,SG2_40833747,SG2_40834403,SG2_40777893,SG2_40724567,SG2_40723354,SG2_40658868,SG2_40656730,SG2_40658101,SG2_40653523,SG2_40613648,SG2_40612733,SG2_40513700,SG2_40513397"
Nakiri#1319,GrandMaster,214.0,25.0,"SG2_40798973,SG2_40799533,SG2_40765733,SG2_40762812,SG2_40760805,SG2_40759106,SG2_40735405,SG2_40730864,SG2_40732416,SG2_40251103,SG2_40247680,SG2_40244597,SG2_40243283,SG2_40190139,SG2_40185861,SG2_40140903,SG2_40139605,SG2_39858738,SG2_39856374,SG2_39854563,SG2_39851269,SG2_39655850,SG2_39618828,SG2_39494140,SG2_39494014,SG2_39485760,SG2_39422260,SG2_39418630,SG2_39415278,SG2_39407895,SG2_39410358,SG2_39404995,SG2_39401812,SG2_39372031,SG2_39368632,SG2_39367292,SG2_39328973,SG2_39331190,SG2_39323813,SG2_39322533"
hauser#SG2,GrandMaster,211.0,26.0,"SG2_41144912,SG2_41144271,SG2_41135298,SG2_41081379,SG2_41077591,SG2_41076229,SG2_41073121,SG2_41072217,SG2_41062821,SG2_41054720,SG2_41036392,SG2_41014038,SG2_41012417,SG2_41009410,SG2_40966638,SG2_40826241,SG2_40822605,SG2_40789293,SG2_40761520,SG2_40656214,SG2_40653199,SG2_40599938,SG2_40265487,SG2_40260681,SG2_40258435,SG2_40259099,SG2_40203008,SG2_40113758,SG2_40116113,SG2_40102894,SG2_40102439,SG2_40099255,SG2_40098854,SG2_40096478,SG2_39988591,SG2_39942982,SG2_39746659,SG2_39744348,SG2_39724240,SG2_39719933"
NoLegs#potat,GrandMaster,209.0,27.0,"SG2_41366848,SG2_41359013,SG2_41357085,SG2_41355341,SG2_41325607,SG2_41323295,SG2_41317496,SG2_41315504,SG2_41294787,SG2_41294409,SG2_41285747,SG2_41285267,SG2_41281835,SG2_40958203,SG2_40953965,SG2_40952436,SG2_40949213,SG2_40945690,SG2_40942181,SG2_40930099,SG2_40927388,SG2_40927020,SG2_40923438,SG2_40917892,SG2_40916822,SG2_40916143,SG2_40913258,SG2_40909235,SG2_40902626,SG2_40903033,SG2_40896173,SG2_40895076,SG2_40891794,SG2_40892210,SG2_40890048,SG2_40887713,SG2_40888119,SG2_40848795,SG2_40847587,SG2_40807831"
윤가이#1557,GrandMaster,201.0,28.0,"SG2_41038527,SG2_41037206,SG2_40823991,SG2_40807831,SG2_40808204,SG2_40802227,SG2_40799365,SG2_40795919,SG2_40794497,SG2_40753960,SG2_40751777,SG2_40738774,SG2_40706116,SG2_40702206,SG2_40695039,SG2_40687247,SG2_40674975,SG2_40265487,SG2_40262192,SG2_40244597,SG2_40245004,SG2_40242508,SG2_40005957,SG2_40004490,SG2_39758636,SG2_39754212,SG2_39735737,SG2_39722367,SG2_39703748,SG2_39705040,SG2_39695738,SG2_39694371,SG2_39693856,SG2_39684965,SG2_39685672,SG2_39685485,SG2_39687230,SG2_39683032,SG2_39676824,SG2_39680553"
WNY Wind#悠米跟我走,GrandMaster,140.0,29.0,"SG2_41437313,SG2_41436064,SG2_41421317,SG2_41409794,SG2_41407108,SG2_41402600,SG2_41199409,SG2_41181176,SG2_41178881,SG2_41175915,SG2_41176115,SG2_41172418,SG2_41126510,SG2_41123795,SG2_41085156,SG2_41080476,SG2_41076671,SG2_41072724,SG2_41062443,SG2_41041979,SG2_41042243,SG2_40979951,SG2_40962569,SG2_40932117,SG2_40929234,SG2_40924634,SG2_40866024,SG2_40862354,SG2_40859379,SG2_40853882,SG2_40850240,SG2_40807831,SG2_40806174,SG2_40802513,SG2_40800576,SG2_40771487,SG2_40770020,SG2_40723924,SG2_40724567,SG2_40697048"
Joey Swift#3174,Master,235.0,30.0,"SG2_41417322,SG2_41416061,SG2_41410696,SG2_41409374,SG2_41338903,SG2_41338400,SG2_41334426,SG2_41332091,SG2_41326334,SG2_41321129,SG2_41317188,SG2_41314247,SG2_41272924,SG2_41271279,SG2_41267310,SG2_41263607,SG2_41258630,SG2_41256131,SG2_41252390,SG2_41029249,SG2_41026170,SG2_41025106,SG2_41021670,SG2_41017998,SG2_41015910,SG2_41016336,SG2_40993286,SG2_40993025,SG2_40990277,SG2_40989191,SG2_40986281,SG2_40982667,SG2_40978551,SG2_40975835,SG2_40963829,SG2_40961726,SG2_40960448,SG2_40958006,SG2_40953539,SG2_40953134"
